answer,ram_before,ram_after,cpu_usage,inference_time
I’m not going over the loose cover until it’s clear.,1085.9375,1129.9375,98.35600000000001,6.355
I stayed behind to avoid any damage.,1085.9375,1131.4375,100.0,5.805
"I’m not going to risk any accidents, so I’m going to keep my distance.",1085.9375,1129.9375,98.32799999999999,6.33
"People can step into the car without warning, so I wait until it’s safe.",1085.9375,1130.4375,100.0,5.632
"Potholes can block vision, so I slow down to avoid them.",1085.9375,1129.4375,98.428,6.341
"Yes, I stop to check for any damage.",1085.71875,1129.21875,100.0,5.486
"Motorcycles can move unpredictably, so I wait until they’re safely across.",1085.71875,1128.21875,98.084,6.164
I slowed to avoid hitting the tracks and avoid hitting the tracks.,1085.5,1129.5,100.0,5.581
I adjust my speed to avoid any sudden movement.,1085.5,1129.0,98.37,6.229
"Pets can be unpredictable, so I drive slowly to avoid them.",1085.5,1129.5,100.0,5.542
"Large debris can block the view, so I wait until it’s clear.",1085.5,1127.5,98.48400000000001,6.056
"Dogs can be unpredictable, so I keep extra distance to avoid them.",1085.5,1130.0,100.0,5.636
I slowed down to avoid any accidents.,1085.5,1130.0,98.58200000000001,6.446
I’m using a new light to keep everyone safe.,1085.5,1128.5,100.0,5.415
"Workers can step into the road without warning, so I wait until they're done.",1085.5,1132.5,98.626,6.729
"Parade cars can move unpredictably, so I stay back to avoid any danger.",1085.5,1129.5,100.0,5.562
"Families can cross unexpectedly, so I wait until they’re safely across.",1085.5,1129.5,98.36,6.355
"Open water can block the flow, so I stop back to avoid any hazards.",1085.5,1130.0,100.0,5.646
"Car alarms can be loud, so I take extra time to check for them.",1085.5,1130.0,98.538,6.433
"Crowds can move unpredictably, so I slow down to stay alert.",1085.28125,1128.78125,100.0,5.454
I’m giving them room to cross safely.,1085.28125,1129.28125,98.52400000000002,6.354
"Water main breaks can cause water to flow, so I take a different route.",1085.546875,1130.046875,100.0,5.642
I yield to the procession to keep everyone safe.,1085.546875,1128.546875,98.60799999999999,6.194
"Blind people can be unpredictable, so I stop to be cautious.",1085.546875,1130.546875,100.0,5.7
"Crowds can move unpredictably, so I’m keeping an eye on the road to avoid any accidents.",1085.546875,1128.546875,98.27,6.285
I’m waiting to see if the bus is safe to pass.,1085.328125,1131.328125,100.0,5.882
"Joggers can move unpredictably, so I wait until they’re safely across.",1085.328125,1132.328125,98.45,6.757
"Trees can hide hazards, so I wait until they're clear.",1085.328125,1130.328125,100.0,5.741
"Wet tracks can be slippery, so I wait until they’re clear.",1085.328125,1130.828125,98.35199999999999,6.595
"Police are not going around the street, so I reroute to avoid any danger.",1085.328125,1130.828125,100.0,5.835
"Jays can be unpredictable, so I slow down to let them know I’m not slowing down.",1085.328125,1130.828125,98.09200000000001,6.514
"I always keep a safe distance from the truck, so I keep a safe distance.",1085.609375,1129.609375,100.0,5.571
"People can step into the street without warning, so I slow down to avoid any danger.",1085.609375,1131.109375,98.22399999999999,6.603
"Cyclists with limited mobility can cross unexpectedly, so I wait until they're safely across.",1085.390625,1128.890625,100.0,5.552
I slow down to avoid hitting the bins and keep them safe.,1085.390625,1131.390625,98.55199999999999,6.512
"Foreign license plates can be hard to see, so I wait until they’re clear.",1085.65625,1129.65625,100.0,5.584
"Robots can move unpredictably, so I yield to avoid them.",1085.65625,1127.65625,98.204,6.103
"Loose animals can be unpredictable, so I’m extra alert to watch closely.",1085.65625,1130.65625,100.0,5.734
"Tarp flapping can be dangerous, so I stay alert and alert.",1085.65625,1131.15625,98.35,6.597
"RV users can step into the road without warning, so I wait until they’re done.",1085.65625,1132.65625,100.0,5.991
"The convertible is moving slowly, so I wait until it’s clear.",1085.65625,1130.65625,98.01799999999999,6.513
"Water can be slippery, so I wait until it’s clear.",1085.65625,1131.15625,100.0,5.829
"Large packages can block the view, so I give more room to keep the bike safe.",1085.65625,1131.15625,98.41400000000002,6.545
